Start_date,Crab,Fertilization_date,age,Batch,Tray Number,Well,Cue,settled_10hrs,unattached_10hrs,settled_20hrs,unattached_20hrs,settled_30hrs,unattached_30hrs
3/7/2022,G2,2/7/2022,28,2,15,e,Sterilized shell + conspecific cue,3,3,3,3,3,3
3/7/2022,G2,2/7/2022,28,2,15,f,Sterilized shell,0,6,0,6,0,6
3/7/2022,G2,2/7/2022,28,2,16,a,Sterilized shell + predator cue,1,4,1,4,1,4
3/7/2022,G2,2/7/2022,28,2,16,b,Sterilized shell + conspecific cue,2,4,3,3,3,3
3/7/2022,G2,2/7/2022,28,2,16,c,Sterilized shell + conspecific cue + predator cue,0,6,3,3,3,3
3/7/2022,G2,2/7/2022,28,2,16,d,Conspecific shell + conspecific cue,4,2,5,1,5,1
3/7/2022,G2,2/7/2022,28,2,16,e,Conspecific shell,5,1,5,1,5,1
3/7/2022,G2,2/7/2022,28,2,16,f,Sterilized shell,1,5,1,5,1,5
3/7/2022,G2,2/7/2022,28,2,17,a,Conspecific shell,3,3,3,3,3,3
3/7/2022,G2,2/7/2022,28,2,17,b,Conspecific shell + conspecific cue,6,0,6,0,6,0
3/7/2022,G2,2/7/2022,28,2,17,c,Sterilized shell,0,5,0,5,0,5
3/7/2022,G2,2/7/2022,28,2,17,d,Sterilized shell + conspecific cue,6,0,6,0,6,0
3/7/2022,G2,2/7/2022,28,2,17,e,Sterilized shell + predator cue,0,6,1,5,1,5
3/7/2022,G2,2/7/2022,28,2,17,f,Sterilized shell + conspecific cue + predator cue,0,6,0,6,0,6
3/7/2022,G2,2/7/2022,28,2,18,a,Conspecific shell + conspecific cue,3,3,3,3,3,3
3/7/2022,G2,2/7/2022,28,2,18,b,Sterilized shell + conspecific cue,1,5,2,4,2,4
3/7/2022,G2,2/7/2022,28,2,18,c,Sterilized shell + conspecific cue + predator cue,1,5,2,4,2,4
3/7/2022,G2,2/7/2022,28,2,18,d,Conspecific shell,4,2,6,0,6,0
3/7/2022,G2,2/7/2022,28,2,18,e,Sterilized shell,0,6,0,6,0,6
3/7/2022,G2,2/7/2022,28,2,18,f,Sterilized shell + predator cue,0,6,1,4,2,4
3/7/2022,G2,2/7/2022,28,2,19,a,Sterilized shell + predator cue,0,6,1,4,1,5
3/7/2022,G2,2/7/2022,28,2,19,b,Conspecific shell,4,2,5,1,5,1
3/7/2022,G2,2/7/2022,28,2,19,c,Conspecific shell + conspecific cue,5,1,5,1,6,0
3/7/2022,G2,2/7/2022,28,2,19,d,Sterilized shell,0,6,0,6,0,6
3/7/2022,G2,2/7/2022,28,2,19,e,Sterilized shell + conspecific cue + predator cue,2,4,2,4,2,4
3/7/2022,G2,2/7/2022,28,2,19,f,Sterilized shell + conspecific cue,2,4,2,4,2,4
3/7/2022,G2,2/7/2022,28,2,20,a,Conspecific shell,3,3,5,1,5,1
3/7/2022,G2,2/7/2022,28,2,20,b,Sterilized shell,0,5,0,5,0,5
3/7/2022,G2,2/7/2022,28,2,20,c,Sterilized shell + conspecific cue,2,3,2,3,3,2
3/7/2022,G2,2/7/2022,28,2,20,d,Conspecific shell + conspecific cue,5,1,5,1,5,1
3/7/2022,G2,2/7/2022,28,2,20,e,Sterilized shell + conspecific cue + predator cue,0,6,1,4,1,5
3/7/2022,G2,2/7/2022,28,2,20,f,Sterilized shell + predator cue,2,4,2,4,2,4
3/9/2022,R1,2/7/2022,30,2,30,f,Sterilized shell + predator cue,1,5,2,4,2,4
3/9/2022,R1,2/7/2022,30,2,31,a,conspecific shell + predator cue,5,1,5,1,4,1
3/9/2022,R1,2/7/2022,30,2,31,b,conspecific shell + predator cue,3,2,3,2,5,0
3/9/2022,R1,2/7/2022,30,2,31,c,conspecific shell + predator cue,3,3,3,3,4,2
3/9/2022,R1,2/7/2022,30,2,31,d,conspecific shell + predator cue,2,3,2,3,3,2
3/9/2022,R1,2/7/2022,30,2,31,e,conspecific shell + predator cue,4,2,4,2,5,1
3/9/2022,R1,2/7/2022,30,2,31,f,conspecific shell + predator cue,2,4,2,4,3,3
3/9/2022,R1,2/7/2022,30,2,32,a,conspecific shell + predator cue,2,4,3,3,4,2
3/9/2022,R1,2/7/2022,30,2,32,b,conspecific shell + predator cue,3,3,4,2,4,2
3/9/2022,R1,2/7/2022,30,2,32,c,conspecific shell + predator cue,3,3,3,2,4,1
3/9/2022,R1,2/7/2022,30,2,32,d,conspecific shell + predator cue,5,1,5,1,5,1
3/9/2022,R1,2/7/2022,30,2,32,e,conspecific shell + predator cue,3,4,3,4,4,3
3/9/2022,R1,2/7/2022,30,2,32,f,conspecific shell + predator cue,3,2,3,2,4,1
